,State,Region,County,Food insecurity,Limited access to healthy foods,Adult obesity
0,AK,West,Aleutians West Census Area,0.17,0.075,0.3
1,AK,West,Aleutians West Census Area,0.173,0.075,0.329
2,AK,West,Anchorage Borough,0.126,0.046,0.257
3,AK,West,Anchorage Borough,0.125,0.046,0.268
4,AK,West,Bethel Census Area,0.199,0.386,0.315
5,AK,West,Bethel Census Area,0.2,0.386,0.324
6,AK,West,Dillingham Census Area,0.179,0.165,0.318
7,AK,West,Dillingham Census Area,0.167,0.165,0.316
8,AK,West,Fairbanks North Star Borough,0.131,0.1,0.291
9,AK,West,Fairbanks North Star Borough,0.131,0.1,0.285
10,AK,West,Haines Borough,0.124,0.049,0.296
11,AK,West,Haines Borough,0.134,0.049,0.284
12,AK,West,Juneau Borough,0.11,0.061,0.26
13,AK,West,Juneau Borough,0.114,0.061,0.269
14,AK,West,Kenai Peninsula Borough,0.132,0.059,0.275
15,AK,West,Kenai Peninsula Borough,0.129,0.059,0.275
16,AK,West,Ketchikan Gateway Borough,0.138,0.009,0.292
17,AK,West,Ketchikan Gateway Borough,0.141,0.009,0.28
18,AK,West,Kodiak Island Borough,0.142,0.037,0.301
19,AK,West,Kodiak Island Borough,0.137,0.037,0.315
20,AK,West,Lake and Peninsula Borough,0.161,0.459,0.315
21,AK,West,Lake and Peninsula Borough,0.169,0.459,0.326
22,AK,West,Matanuska-Susitna Borough,0.124,0.058,0.298
23,AK,West,Matanuska-Susitna Borough,0.123,0.058,0.298
24,AK,West,Nome Census Area,0.209,0.36,0.356
25,AK,West,Nome Census Area,0.203,0.36,0.341
26,AK,West,North Slope Borough,0.142,0.038,0.356
27,AK,West,North Slope Borough,0.148,0.038,0.342
28,AK,West,Northwest Arctic Borough,0.209,0.323,0.297
29,AK,West,Northwest Arctic Borough,0.203,0.323,0.297
30,AK,West,Prince of Wales-Outer Ketchikan Census Area,0.187,0.078,0.337
31,AK,West,Prince of Wales-Outer Ketchikan Census Area,0.174,0.078,0.355
32,AK,West,Sitka Borough,0.128,0.059,0.282
33,AK,West,Sitka Borough,0.129,0.059,0.288
34,AK,West,Skagway-Hoonah-Angoon Census Area,0.192,0.222,0.302
35,AK,West,Skagway-Hoonah-Angoon Census Area,0.174,0.222,0.309
36,AK,West,Southeast Fairbanks Census Area,0.156,0.092,0.317
37,AK,West,Southeast Fairbanks Census Area,0.154,0.092,0.325
38,AK,West,Valdez-Cordova Census Area,0.123,0.109,0.283
39,AK,West,Valdez-Cordova Census Area,0.123,0.109,0.297
40,AK,West,Wade Hampton Census Area,0.254,0.441,0.276
41,AK,West,Wade Hampton Census Area,0.246,0.441,0.346
42,AK,West,Wrangell-Petersburg Census Area,0.133,0.018,0.309
43,AK,West,Wrangell-Petersburg Census Area,0.142,0.018,0.301
44,AK,West,Yukon-Koyukuk Census Area,0.206,0.501,0.29
45,AK,West,Yukon-Koyukuk Census Area,0.197,0.501,0.263
46,AL,South,Autauga County,0.136,0.098,0.305
47,AL,South,Autauga County,0.135,0.098,0.313
48,AL,South,Baldwin County,0.131,0.055,0.266
49,AL,South,Baldwin County,0.135,0.055,0.25
50,AL,South,Barbour County,0.23,0.114,0.373
51,AL,South,Barbour County,0.227,0.114,0.384
52,AL,South,Bibb County,0.158,0.021,0.343
53,AL,South,Bibb County,0.154,0.021,0.373
54,AL,South,Blount County,0.121,0.011,0.304
55,AL,South,Blount County,0.118,0.011,0.309
56,AL,South,Bullock County,0.27,0.202,0.421
57,AL,South,Bullock County,0.241,0.202,0.432
58,AL,South,Butler County,0.227,0.028,0.383
59,AL,South,Butler County,0.221,0.028,0.384
60,AL,South,Calhoun County,0.175,0.1,0.332
61,AL,South,Calhoun County,0.172,0.1,0.315
62,AL,South,Chambers County,0.21,0.088,0.354
63,AL,South,Chambers County,0.205,0.088,0.397
64,AL,South,Cherokee County,0.15,0.001,0.314
65,AL,South,Cherokee County,0.148,0.001,0.303
66,AL,South,Chilton County,0.145,0.017,0.383
67,AL,South,Chilton County,0.142,0.017,0.37
68,AL,South,Choctaw County,0.199,0.116,0.389
69,AL,South,Choctaw County,0.185,0.116,0.402
70,AL,South,Clarke County,0.244,0.112,0.36
71,AL,South,Clarke County,0.223,0.112,0.352
72,AL,South,Clay County,0.176,0.019,0.353
73,AL,South,Clay County,0.169,0.019,0.374
74,AL,South,Cleburne County,0.134,0.005,0.313
75,AL,South,Cleburne County,0.138,0.005,0.304
76,AL,South,Coffee County,0.151,0.074,0.299
77,AL,South,Coffee County,0.15,0.074,0.285
78,AL,South,Colbert County,0.158,0.051,0.322
79,AL,South,Colbert County,0.156,0.051,0.339
80,AL,South,Conecuh County,0.244,0.148,0.363
81,AL,South,Conecuh County,0.228,0.148,0.391
82,AL,South,Coosa County,0.178,0.065,0.343
83,AL,South,Coosa County,0.169,0.065,0.372
84,AL,South,Covington County,0.163,0.03,0.338
85,AL,South,Covington County,0.16,0.03,0.323
86,AL,South,Crenshaw County,0.168,0.158,0.357
87,AL,South,Crenshaw County,0.167,0.158,0.371
88,AL,South,Cullman County,0.134,0.032,0.324
89,AL,South,Cullman County,0.137,0.032,0.344
90,AL,South,Dale County,0.166,0.103,0.353
91,AL,South,Dale County,0.167,0.103,0.344
92,AL,South,Dallas County,0.315,0.116,0.414
93,AL,South,Dallas County,0.289,0.116,0.417
94,AL,South,DeKalb County,0.153,0.023,0.324
95,AL,South,DeKalb County,0.141,0.023,0.321
96,AL,South,Elmore County,0.144,0.066,0.306
97,AL,South,Elmore County,0.141,0.066,0.301
98,AL,South,Escambia County,0.201,0.076,0.369
99,AL,South,Escambia County,0.196,0.076,0.383
100,AL,South,Etowah County,0.16,0.086,0.318
101,AL,South,Etowah County,0.158,0.086,0.338
102,AL,South,Fayette County,0.167,0.013,0.364
103,AL,South,Fayette County,0.158,0.013,0.363
104,AL,South,Franklin County,0.155,0.036,0.343
105,AL,South,Franklin County,0.149,0.036,0.335
106,AL,South,Geneva County,0.153,0.009,0.34
107,AL,South,Geneva County,0.155,0.009,0.345
108,AL,South,Greene County,0.3,0.21,0.479
109,AL,South,Greene County,0.275,0.21,0.481
110,AL,South,Hale County,0.243,0.002,0.416
111,AL,South,Hale County,0.229,0.002,0.362
112,AL,South,Henry County,0.156,0.01,0.346
113,AL,South,Henry County,0.158,0.01,0.341
114,AL,South,Houston County,0.17,0.073,0.349
115,AL,South,Houston County,0.171,0.073,0.329
116,AL,South,Jackson County,0.139,0.041,0.3
117,AL,South,Jackson County,0.138,0.041,0.29
118,AL,South,Jefferson County,0.191,0.114,0.322
119,AL,South,Jefferson County,0.183,0.114,0.329
120,AL,South,Lamar County,0.164,0.004,0.313
121,AL,South,Lamar County,0.162,0.004,0.328
122,AL,South,Lauderdale County,0.15,0.056,0.322
123,AL,South,Lauderdale County,0.151,0.056,0.312
124,AL,South,Lawrence County,0.148,0.016,0.377
125,AL,South,Lawrence County,0.147,0.016,0.386
126,AL,South,Lee County,0.172,0.114,0.32
127,AL,South,Lee County,0.174,0.114,0.3
128,AL,South,Limestone County,0.134,0.039,0.338
129,AL,South,Limestone County,0.131,0.039,0.334
130,AL,South,Lowndes County,0.292,0.262,0.438
131,AL,South,Lowndes County,0.258,0.262,0.437
132,AL,South,Macon County,0.282,0.192,0.392
133,AL,South,Macon County,0.26,0.192,0.417
134,AL,South,Madison County,0.15,0.081,0.3
135,AL,South,Madison County,0.147,0.081,0.306
136,AL,South,Marengo County,0.226,0.151,0.416
137,AL,South,Marengo County,0.214,0.151,0.423
138,AL,South,Marion County,0.164,0.006,0.33
139,AL,South,Marion County,0.16,0.006,0.341
140,AL,South,Marshall County,0.144,0.066,0.315
141,AL,South,Marshall County,0.14,0.066,0.339
142,AL,South,Mobile County,0.196,0.106,0.339
143,AL,South,Mobile County,0.188,0.106,0.359
144,AL,South,Monroe County,0.246,0.169,0.359
145,AL,South,Monroe County,0.221,0.169,0.363
146,AL,South,Montgomery County,0.218,0.113,0.353
147,AL,South,Montgomery County,0.21,0.113,0.346
148,AL,South,Morgan County,0.146,0.035,0.285
149,AL,South,Morgan County,0.143,0.035,0.302
150,AL,South,Perry County,0.293,0.056,0.389
151,AL,South,Perry County,0.265,0.056,0.387
152,AL,South,Pickens County,0.223,0.021,0.385
153,AL,South,Pickens County,0.212,0.021,0.401
154,AL,South,Pike County,0.214,0.058,0.36
155,AL,South,Pike County,0.212,0.058,0.353
156,AL,South,Randolph County,0.19,0.02,0.342
157,AL,South,Randolph County,0.18,0.02,0.341
158,AL,South,Russell County,0.213,0.078,0.365
159,AL,South,Russell County,0.211,0.078,0.342
160,AL,South,Shelby County,0.105,0.038,0.296
161,AL,South,Shelby County,0.105,0.038,0.315
162,AL,South,St. Clair County,0.129,0.012,0.329
163,AL,South,St. Clair County,0.129,0.012,0.317
164,AL,South,Sumter County,0.31,0.106,0.401
165,AL,South,Sumter County,0.284,0.106,0.404
166,AL,South,Talladega County,0.197,0.059,0.384
167,AL,South,Talladega County,0.19,0.059,0.38
168,AL,South,Tallapoosa County,0.186,0.048,0.351
169,AL,South,Tallapoosa County,0.178,0.048,0.356
170,AL,South,Tuscaloosa County,0.185,0.074,0.332
171,AL,South,Tuscaloosa County,0.177,0.074,0.329
172,AL,South,Walker County,0.151,0.039,0.36
173,AL,South,Walker County,0.15,0.039,0.334
174,AL,South,Washington County,0.188,0.035,0.359
175,AL,South,Washington County,0.171,0.035,0.361
176,AL,South,Wilcox County,0.324,0.276,0.416
177,AL,South,Wilcox County,0.295,0.276,0.428
178,AL,South,Winston County,0.176,0.015,0.357
179,AL,South,Winston County,0.167,0.015,0.334
180,AR,South,Arkansas County,0.213,0.079,0.354
181,AR,South,Arkansas County,0.194,0.079,0.351
182,AR,South,Ashley County,0.208,0.113,0.38
183,AR,South,Ashley County,0.211,0.113,0.361
184,AR,South,Baxter County,0.156,0.054,0.285
185,AR,South,Baxter County,0.164,0.054,0.293
186,AR,South,Benton County,0.137,0.063,0.276
187,AR,South,Benton County,0.14,0.063,0.272
188,AR,South,Boone County,0.153,0.108,0.273
189,AR,South,Boone County,0.162,0.108,0.263
190,AR,South,Bradley County,0.228,0.047,0.34
191,AR,South,Bradley County,0.218,0.047,0.347
192,AR,South,Calhoun County,0.17,0.319,0.342
193,AR,South,Calhoun County,0.179,0.319,0.352
194,AR,South,Carroll County,0.147,0.041,0.287
195,AR,South,Carroll County,0.152,0.041,0.335
196,AR,South,Chicot County,0.282,0.029,0.368
197,AR,South,Chicot County,0.267,0.029,0.385
198,AR,South,Clark County,0.215,0.039,0.326
199,AR,South,Clark County,0.217,0.039,0.325
200,AR,South,Clay County,0.196,0.05,0.32
201,AR,South,Clay County,0.195,0.05,0.317
202,AR,South,Cleburne County,0.152,0.048,0.288
203,AR,South,Cleburne County,0.159,0.048,0.28
204,AR,South,Cleveland County,0.17,0.088,0.349
205,AR,South,Cleveland County,0.172,0.088,0.354
206,AR,South,Columbia County,0.228,0.074,0.335
207,AR,South,Columbia County,0.223,0.074,0.37
208,AR,South,Conway County,0.184,0.094,0.357
209,AR,South,Conway County,0.189,0.094,0.397
210,AR,South,Craighead County,0.189,0.103,0.341
211,AR,South,Craighead County,0.192,0.103,0.34
212,AR,South,Crawford County,0.165,0.096,0.359
213,AR,South,Crawford County,0.168,0.096,0.377
214,AR,South,Crittenden County,0.286,0.044,0.381
215,AR,South,Crittenden County,0.264,0.044,0.382
216,AR,South,Cross County,0.192,0.079,0.365
217,AR,South,Cross County,0.196,0.079,0.375
218,AR,South,Dallas County,0.234,0.098,0.33
219,AR,South,Dallas County,0.227,0.098,0.325
220,AR,South,Desha County,0.266,0.159,0.369
221,AR,South,Desha County,0.264,0.159,0.365
222,AR,South,Drew County,0.238,0.074,0.323
223,AR,South,Drew County,0.234,0.074,0.319
224,AR,South,Faulkner County,0.168,0.091,0.294
225,AR,South,Faulkner County,0.171,0.091,0.3
226,AR,South,Franklin County,0.161,0.056,0.336
227,AR,South,Franklin County,0.164,0.056,0.352
228,AR,South,Fulton County,0.156,0.093,0.311
229,AR,South,Fulton County,0.164,0.093,0.319
230,AR,South,Garland County,0.176,0.115,0.283
231,AR,South,Garland County,0.179,0.115,0.309
232,AR,South,Grant County,0.129,0.04,0.361
233,AR,South,Grant County,0.136,0.04,0.358
234,AR,South,Greene County,0.177,0.083,0.378
235,AR,South,Greene County,0.183,0.083,0.339
236,AR,South,Hempstead County,0.208,0.106,0.363
237,AR,South,Hempstead County,0.211,0.106,0.391
238,AR,South,Hot Spring County,0.158,0.086,0.334
239,AR,South,Hot Spring County,0.166,0.086,0.326
240,AR,South,Howard County,0.199,0.073,0.357
241,AR,South,Howard County,0.2,0.073,0.369
242,AR,South,Independence County,0.176,0.078,0.298
243,AR,South,Independence County,0.187,0.078,0.309
244,AR,South,Izard County,0.169,0.027,0.303
245,AR,South,Izard County,0.172,0.027,0.33
246,AR,South,Jackson County,0.214,0.086,0.371
247,AR,South,Jackson County,0.213,0.086,0.411
248,AR,South,Jefferson County,0.259,0.069,0.4
249,AR,South,Jefferson County,0.249,0.069,0.386
250,AR,South,Johnson County,0.162,0.044,0.349
251,AR,South,Johnson County,0.167,0.044,0.324
252,AR,South,Lafayette County,0.221,0.089,0.309
253,AR,South,Lafayette County,0.226,0.089,0.325
254,AR,South,Lawrence County,0.189,0.131,0.38
255,AR,South,Lawrence County,0.193,0.131,0.334
256,AR,South,Lee County,0.278,0.158,0.346
257,AR,South,Lee County,0.279,0.158,0.354
258,AR,South,Lincoln County,0.222,0.206,0.329
259,AR,South,Lincoln County,0.227,0.206,0.338
260,AR,South,Little River County,0.173,0.036,0.329
261,AR,South,Little River County,0.172,0.036,0.312
262,AR,South,Logan County,0.154,0.068,0.332
263,AR,South,Logan County,0.161,0.068,0.347
264,AR,South,Lonoke County,0.149,0.063,0.312
265,AR,South,Lonoke County,0.152,0.063,0.335
266,AR,South,Madison County,0.15,0.12,0.328
267,AR,South,Madison County,0.164,0.12,0.333
268,AR,South,Marion County,0.159,0.055,0.326
269,AR,South,Marion County,0.163,0.055,0.309
270,AR,South,Miller County,0.195,0.099,0.336
271,AR,South,Miller County,0.197,0.099,0.327
272,AR,South,Mississippi County,0.251,0.069,0.391
273,AR,South,Mississippi County,0.238,0.069,0.387
274,AR,South,Monroe County,0.241,0.062,0.351
275,AR,South,Monroe County,0.24,0.062,0.358
276,AR,South,Montgomery County,0.155,0.099,0.296
277,AR,South,Montgomery County,0.17,0.099,0.306
278,AR,South,Nevada County,0.214,0.109,0.344
279,AR,South,Nevada County,0.212,0.109,0.329
280,AR,South,Newton County,0.159,0.152,0.363
281,AR,South,Newton County,0.175,0.152,0.36
282,AR,South,Ouachita County,0.224,0.154,0.398
283,AR,South,Ouachita County,0.227,0.154,0.378
284,AR,South,Perry County,0.149,0.052,0.338
285,AR,South,Perry County,0.153,0.052,0.331
286,AR,South,Phillips County,0.302,0.241,0.38
287,AR,South,Phillips County,0.291,0.241,0.4
288,AR,South,Pike County,0.174,0.091,0.336
289,AR,South,Pike County,0.181,0.091,0.351
290,AR,South,Poinsett County,0.2,0.055,0.357
291,AR,South,Poinsett County,0.204,0.055,0.357
292,AR,South,Polk County,0.162,0.188,0.331
293,AR,South,Polk County,0.168,0.188,0.325
294,AR,South,Pope County,0.166,0.059,0.352
295,AR,South,Pope County,0.17,0.059,0.348
296,AR,South,Prairie County,0.175,0.016,0.328
297,AR,South,Prairie County,0.181,0.016,0.345
298,AR,South,Pulaski County,0.205,0.101,0.331
299,AR,South,Pulaski County,0.204,0.101,0.329
300,AR,South,Randolph County,0.178,0.142,0.342
301,AR,South,Randolph County,0.183,0.142,0.352
302,AR,South,Saline County,0.132,0.062,0.315
303,AR,South,Saline County,0.137,0.062,0.315
304,AR,South,Scott County,0.162,0.074,0.294
305,AR,South,Scott County,0.162,0.074,0.311
306,AR,South,Searcy County,0.171,0.191,0.302
307,AR,South,Searcy County,0.182,0.191,0.312
308,AR,South,Sebastian County,0.18,0.053,0.298
309,AR,South,Sebastian County,0.18,0.053,0.31
310,AR,South,Sevier County,0.166,0.199,0.379
311,AR,South,Sevier County,0.172,0.199,0.387
312,AR,South,Sharp County,0.18,0.088,0.303
313,AR,South,Sharp County,0.181,0.088,0.302
314,AR,South,St. Francis County,0.283,0.147,0.386
315,AR,South,St. Francis County,0.271,0.147,0.395
316,AR,South,Stone County,0.177,0.124,0.342
317,AR,South,Stone County,0.18,0.124,0.348
318,AR,South,Union County,0.22,0.112,0.309
319,AR,South,Union County,0.212,0.112,0.363
320,AR,South,Van Buren County,0.184,0.065,0.332
321,AR,South,Van Buren County,0.184,0.065,0.344
322,AR,South,Washington County,0.168,0.073,0.286
323,AR,South,Washington County,0.17,0.073,0.292
324,AR,South,White County,0.172,0.058,0.334
325,AR,South,White County,0.176,0.058,0.339
326,AR,South,Woodruff County,0.243,0.025,0.356
327,AR,South,Woodruff County,0.241,0.025,0.367
328,AR,South,Yell County,0.151,0.035,0.325
329,AR,South,Yell County,0.16,0.035,0.343
330,AZ,West,Apache County,0.261,0.438,0.318
331,AZ,West,Apache County,0.257,0.438,0.319
332,AZ,West,Cochise County,0.161,0.123,0.247
333,AZ,West,Cochise County,0.158,0.123,0.236
334,AZ,West,Coconino County,0.183,0.131,0.233
335,AZ,West,Coconino County,0.185,0.131,0.24
336,AZ,West,Gila County,0.176,0.115,0.263
337,AZ,West,Gila County,0.171,0.115,0.271
338,AZ,West,Graham County,0.176,0.137,0.339
339,AZ,West,Graham County,0.164,0.137,0.35
340,AZ,West,Greenlee County,0.175,0.259,0.342
341,AZ,West,Greenlee County,0.158,0.259,0.354
342,AZ,West,La Paz County,0.172,0.189,0.312
343,AZ,West,La Paz County,0.168,0.189,0.32
344,AZ,West,Maricopa County,0.162,0.037,0.228
345,AZ,West,Maricopa County,0.157,0.037,0.226
346,AZ,West,Mohave County,0.176,0.173,0.271
347,AZ,West,Mohave County,0.179,0.173,0.266
348,AZ,West,Navajo County,0.227,0.182,0.317
349,AZ,West,Navajo County,0.224,0.182,0.312
350,AZ,West,Pima County,0.166,0.073,0.241
351,AZ,West,Pima County,0.16,0.073,0.221
352,AZ,West,Pinal County,0.159,0.048,0.314
353,AZ,West,Pinal County,0.153,0.048,0.302
354,AZ,West,Santa Cruz County,0.215,0.108,0.201
355,AZ,West,Santa Cruz County,0.188,0.108,0.205
356,AZ,West,Yavapai County,0.165,0.121,0.234
357,AZ,West,Yavapai County,0.165,0.121,0.259
358,AZ,West,Yuma County,0.273,0.105,0.311
359,AZ,West,Yuma County,0.243,0.105,0.312
360,CA,West,Alameda County,0.162,0.016,0.207
361,CA,West,Alameda County,0.156,0.016,0.205
362,CA,West,Amador County,0.139,0.032,0.23
363,CA,West,Amador County,0.145,0.032,0.248
364,CA,West,Butte County,0.184,0.072,0.243
365,CA,West,Butte County,0.182,0.072,0.244
366,CA,West,Calaveras County,0.146,0.021,0.258
367,CA,West,Calaveras County,0.147,0.021,0.243
368,CA,West,Colusa County,0.198,0.027,0.226
369,CA,West,Colusa County,0.176,0.027,0.223
370,CA,West,Contra Costa County,0.138,0.027,0.237
371,CA,West,Contra Costa County,0.132,0.027,0.224
372,CA,West,Del Norte County,0.186,0.102,0.255
373,CA,West,Del Norte County,0.188,0.102,0.255
374,CA,West,El Dorado County,0.131,0.048,0.203
375,CA,West,El Dorado County,0.129,0.048,0.21
376,CA,West,Fresno County,0.208,0.055,0.294
377,CA,West,Fresno County,0.189,0.055,0.285
378,CA,West,Glenn County,0.181,0.053,0.268
379,CA,West,Glenn County,0.17,0.053,0.259
380,CA,West,Humboldt County,0.171,0.065,0.265
381,CA,West,Humboldt County,0.18,0.065,0.257
382,CA,West,Imperial County,0.278,0.08,0.235
383,CA,West,Imperial County,0.227,0.08,0.221
384,CA,West,Inyo County,0.139,0.108,0.238
385,CA,West,Inyo County,0.143,0.108,0.228
386,CA,West,Kern County,0.189,0.054,0.278
387,CA,West,Kern County,0.171,0.054,0.28
388,CA,West,Kings County,0.199,0.056,0.242
389,CA,West,Kings County,0.184,0.056,0.237
390,CA,West,Lake County,0.202,0.077,0.267
391,CA,West,Lake County,0.199,0.077,0.265
392,CA,West,Lassen County,0.174,0.297,0.256
393,CA,West,Lassen County,0.174,0.297,0.241
394,CA,West,Los Angeles County,0.179,0.014,0.213
395,CA,West,Los Angeles County,0.163,0.014,0.213
396,CA,West,Madera County,0.182,0.075,0.297
397,CA,West,Madera County,0.162,0.075,0.276
398,CA,West,Marin County,0.115,0.02,0.154
399,CA,West,Marin County,0.115,0.02,0.158
400,CA,West,Mariposa County,0.15,0.059,0.238
401,CA,West,Mariposa County,0.153,0.059,0.241
402,CA,West,Mendocino County,0.158,0.075,0.248
403,CA,West,Mendocino County,0.162,0.075,0.242
404,CA,West,Merced County,0.215,0.055,0.313
405,CA,West,Merced County,0.194,0.055,0.311
406,CA,West,Modoc County,0.183,0.15,0.251
407,CA,West,Modoc County,0.175,0.15,0.241
408,CA,West,Mono County,0.142,0.082,0.208
409,CA,West,Mono County,0.143,0.082,0.216
410,CA,West,Monterey County,0.164,0.031,0.228
411,CA,West,Monterey County,0.149,0.031,0.22
412,CA,West,Napa County,0.125,0.026,0.236
413,CA,West,Napa County,0.12,0.026,0.241
414,CA,West,Nevada County,0.131,0.053,0.185
415,CA,West,Nevada County,0.138,0.053,0.178
416,CA,West,Orange County,0.127,0.01,0.204
417,CA,West,Orange County,0.122,0.01,0.207
418,CA,West,Placer County,0.125,0.022,0.228
419,CA,West,Placer County,0.127,0.022,0.225
420,CA,West,Plumas County,0.176,0.018,0.23
421,CA,West,Plumas County,0.175,0.018,0.248
422,CA,West,Riverside County,0.157,0.062,0.27
423,CA,West,Riverside County,0.145,0.062,0.259
424,CA,West,Sacramento County,0.173,0.037,0.277
425,CA,West,Sacramento County,0.171,0.037,0.269
426,CA,West,San Benito County,0.16,0.03,0.243
427,CA,West,San Benito County,0.137,0.03,0.233
428,CA,West,San Bernardino County,0.165,0.075,0.282
429,CA,West,San Bernardino County,0.153,0.075,0.277
430,CA,West,San Diego County,0.15,0.027,0.231
431,CA,West,San Diego County,0.146,0.027,0.226
432,CA,West,San Francisco County,0.166,0.014,0.16
433,CA,West,San Francisco County,0.165,0.014,0.152
434,CA,West,San Joaquin County,0.195,0.036,0.31
435,CA,West,San Joaquin County,0.179,0.036,0.304
436,CA,West,San Luis Obispo County,0.141,0.04,0.2
437,CA,West,San Luis Obispo County,0.141,0.04,0.204
438,CA,West,San Mateo County,0.117,0.015,0.2
439,CA,West,San Mateo County,0.114,0.015,0.208
440,CA,West,Santa Barbara County,0.14,0.03,0.192
441,CA,West,Santa Barbara County,0.135,0.03,0.194
442,CA,West,Santa Clara County,0.134,0.013,0.21
443,CA,West,Santa Clara County,0.126,0.013,0.204
444,CA,West,Santa Cruz County,0.156,0.04,0.201
445,CA,West,Santa Cruz County,0.148,0.04,0.215
446,CA,West,Shasta County,0.181,0.074,0.28
447,CA,West,Shasta County,0.181,0.074,0.273
448,CA,West,Sierra County,0.165,0.214,0.234
449,CA,West,Sierra County,0.172,0.214,0.233
450,CA,West,Siskiyou County,0.196,0.084,0.233
451,CA,West,Siskiyou County,0.196,0.084,0.217
452,CA,West,Solano County,0.156,0.041,0.271
453,CA,West,Solano County,0.153,0.041,0.265
454,CA,West,Sonoma County,0.135,0.038,0.225
455,CA,West,Sonoma County,0.134,0.038,0.224
456,CA,West,Stanislaus County,0.192,0.048,0.308
457,CA,West,Stanislaus County,0.176,0.048,0.321
458,CA,West,Sutter County,0.202,0.104,0.259
459,CA,West,Sutter County,0.191,0.104,0.276
460,CA,West,Tehama County,0.187,0.081,0.26
461,CA,West,Tehama County,0.179,0.081,0.271
462,CA,West,Trinity County,0.194,0.068,0.251
463,CA,West,Trinity County,0.187,0.068,0.25
464,CA,West,Tulare County,0.198,0.081,0.295
465,CA,West,Tulare County,0.177,0.081,0.283
466,CA,West,Tuolumne County,0.157,0.087,0.227
467,CA,West,Tuolumne County,0.157,0.087,0.227
468,CA,West,Ventura County,0.126,0.025,0.219
469,CA,West,Ventura County,0.116,0.025,0.213
470,CA,West,Yolo County,0.176,0.023,0.229
471,CA,West,Yolo County,0.169,0.023,0.211
472,CA,West,Yuba County,0.213,0.118,0.305
473,CA,West,Yuba County,0.2,0.118,0.276
474,CO,West,Adams County,0.148,0.045,0.25
475,CO,West,Adams County,0.138,0.045,0.249
476,CO,West,Alamosa County,0.152,0.027,0.205
477,CO,West,Alamosa County,0.151,0.027,0.213
478,CO,West,Arapahoe County,0.15,0.035,0.207
479,CO,West,Arapahoe County,0.149,0.035,0.212
480,CO,West,Archuleta County,0.123,0.077,0.17
481,CO,West,Archuleta County,0.13,0.077,0.166
482,CO,West,Baca County,0.119,0.083,0.218
483,CO,West,Baca County,0.126,0.083,0.206
484,CO,West,Bent County,0.159,0.127,0.24
485,CO,West,Bent County,0.165,0.127,0.243
486,CO,West,Boulder County,0.133,0.028,0.149
487,CO,West,Boulder County,0.137,0.028,0.15
488,CO,West,Broomfield County,0.116,0.013,0.202
489,CO,West,Broomfield County,0.12,0.013,0.202
490,CO,West,Chaffee County,0.125,0.019,0.162
491,CO,West,Chaffee County,0.13,0.019,0.18
492,CO,West,Cheyenne County,0.088,0.116,0.233
493,CO,West,Cheyenne County,0.104,0.116,0.253
494,CO,West,Clear Creek County,0.109,0.024,0.166
495,CO,West,Clear Creek County,0.126,0.024,0.173
496,CO,West,Conejos County,0.131,0.022,0.177
497,CO,West,Conejos County,0.127,0.022,0.192
498,CO,West,Costilla County,0.164,0.553,0.205
499,CO,West,Costilla County,0.147,0.553,0.215
500,CO,West,Crowley County,0.155,0.3,0.243
501,CO,West,Crowley County,0.162,0.3,0.241
502,CO,West,Custer County,0.112,0.082,0.212
503,CO,West,Custer County,0.132,0.082,0.205
504,CO,West,Delta County,0.143,0.017,0.215
505,CO,West,Delta County,0.145,0.017,0.221
506,CO,West,Denver County,0.182,0.064,0.182
507,CO,West,Denver County,0.173,0.064,0.17
508,CO,West,Dolores County,0.149,0.086,0.208
509,CO,West,Dolores County,0.149,0.086,0.2
510,CO,West,Douglas County,0.095,0.016,0.162
511,CO,West,Douglas County,0.099,0.016,0.163
512,CO,West,Eagle County,0.137,0.042,0.132
513,CO,West,Eagle County,0.127,0.042,0.12
514,CO,West,El Paso County,0.152,0.087,0.214
515,CO,West,El Paso County,0.157,0.087,0.218
516,CO,West,Elbert County,0.097,0.065,0.202
517,CO,West,Elbert County,0.102,0.065,0.201
518,CO,West,Fremont County,0.161,0.104,0.224
519,CO,West,Fremont County,0.162,0.104,0.221
520,CO,West,Garfield County,0.137,0.048,0.174
521,CO,West,Garfield County,0.13,0.048,0.198
522,CO,West,Gilpin County,0.125,0.0,0.197
523,CO,West,Gilpin County,0.126,0.0,0.193
524,CO,West,Grand County,0.125,0.043,0.18
525,CO,West,Grand County,0.126,0.043,0.187
526,CO,West,Gunnison County,0.144,0.021,0.159
527,CO,West,Gunnison County,0.154,0.021,0.16
528,CO,West,Huerfano County,0.177,0.112,0.209
529,CO,West,Huerfano County,0.163,0.112,0.197
530,CO,West,Jefferson County,0.126,0.043,0.196
531,CO,West,Jefferson County,0.127,0.043,0.198
532,CO,West,Kiowa County,0.131,0.356,0.239
533,CO,West,Kit Carson County,0.116,0.084,0.272
534,CO,West,Kit Carson County,0.126,0.084,0.261
535,CO,West,La Plata County,0.126,0.044,0.167
536,CO,West,La Plata County,0.132,0.044,0.172
537,CO,West,Lake County,0.175,0.265,0.192
538,CO,West,Lake County,0.143,0.265,0.193
539,CO,West,Larimer County,0.135,0.051,0.193
540,CO,West,Larimer County,0.14,0.051,0.199
541,CO,West,Las Animas County,0.154,0.149,0.243
542,CO,West,Las Animas County,0.148,0.149,0.231
